column,primary_label,secondary_labels,confidence,all_confidences,description,unit,tags
adults_with_hiv_percent_age_15_49,demographics,"['safety', 'economy']",0.7950932383537292,"[0.7950932383537292, 0.048576004803180695, 0.03723180666565895]",adults with hiv % age 15 49,percent,"['adults', 'with', 'hiv', 'percent', 'age', '15', '49']"
age_at_1st_marriage_women,demographics,"['social wellbeing', 'safety']",0.7150138020515442,"[0.7150138020515442, 0.11596359312534332, 0.04279178008437157]",age at 1st marriage women,count,"['age', 'at', '1st', 'marriage', 'women']"
aged_15_24_employment_rate_percent,demographics,"['economy', 'social wellbeing']",0.735800564289093,"[0.735800564289093, 0.1147494837641716, 0.04348381981253624]",aged 15 24 employment rate %,percent,"['aged', '15', '24', 'employment', 'rate', 'percent']"
aged_15_24_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.7846232652664185,"[0.7846232652664185, 0.11590153723955154, 0.03361541032791138]",aged 15 24 unemployment rate %,percent,"['aged', '15', '24', 'unemployment', 'rate', 'percent']"
aged_15_64_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.7303903698921204,"[0.7303903698921204, 0.13298830389976501, 0.0396190769970417]",aged 15 64 labour force participation rate %,percent,"['aged', '15', '64', 'labour', 'force', 'participation', 'rate', 'percent']"
aged_15plus_employment_rate_percent,demographics,"['economy', 'social wellbeing']",0.7169721722602844,"[0.7169721722602844, 0.10524535924196243, 0.05533880367875099]",aged 15plus employment rate %,percent,"['aged', '15plus', 'employment', 'rate', 'percent']"
aged_15plus_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.7505955100059509,"[0.7505955100059509, 0.12648369371891022, 0.03535553812980652]",aged 15plus labour force participation rate %,percent,"['aged', '15plus', 'labour', 'force', 'participation', 'rate', 'percent']"
aged_15plus_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.7489994764328003,"[0.7489994764328003, 0.13139893114566803, 0.03642173856496811]",aged 15plus unemployment rate %,percent,"['aged', '15plus', 'unemployment', 'rate', 'percent']"
aged_25_54_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.7913287878036499,"[0.7913287878036499, 0.10307414084672928, 0.030689788982272148]",aged 25 54 labour force participation rate %,percent,"['aged', '25', '54', 'labour', 'force', 'participation', 'rate', 'percent']"
aged_25_54_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.8285055160522461,"[0.8285055160522461, 0.09186609089374542, 0.026111124083399773]",aged 25 54 unemployment rate %,percent,"['aged', '25', '54', 'unemployment', 'rate', 'percent']"
aged_55_64_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.8208231925964355,"[0.8208231925964355, 0.0906347706913948, 0.027304107323288918]",aged 55 64 unemployment rate %,percent,"['aged', '55', '64', 'unemployment', 'rate', 'percent']"
aged_65plus_labour_force_participation_rate_percent,demographics,"['economy', 'social wellbeing']",0.7889958620071411,"[0.7889958620071411, 0.0869547426700592, 0.04259474575519562]",aged 65plus labour force participation rate %,percent,"['aged', '65plus', 'labour', 'force', 'participation', 'rate', 'percent']"
aged_65plus_unemployment_rate_percent,demographics,"['economy', 'social wellbeing']",0.8128565549850464,"[0.8128565549850464, 0.08582641184329987, 0.03009749948978424]",aged 65plus unemployment rate %,percent,"['aged', '65plus', 'unemployment', 'rate', 'percent']"
agricultural_land_percent_of_land_area,economy,"['demographics', 'environment']",0.3506205677986145,"[0.3506205677986145, 0.15175221860408783, 0.12444250285625458]",agricultural land % of land area,percent,"['agricultural', 'land', 'percent', 'of', 'land', 'area']"
agricultural_water_withdrawal_percent_of_total,economy,"['environment', 'safety']",0.3053857982158661,"[0.3053857982158661, 0.1802755892276764, 0.11730006337165833]",agricultural water withdrawal % of total,percent,"['agricultural', 'water', 'withdrawal', 'percent', 'of', 'total']"
agriculture_percent_of_gdp,economy,"['demographics', 'environment']",0.7040369510650635,"[0.7040369510650635, 0.05476822331547737, 0.05472848564386368]",agriculture % of gdp,percent,"['agriculture', 'percent', 'of', 'gdp']"
agriculture_workers_percent_of_employment,demographics,"['social wellbeing', 'economy']",0.5477412343025208,"[0.5477412343025208, 0.12277523428201675, 0.08010338246822357]",agriculture workers % of employment,percent,"['agriculture', 'workers', 'percent', 'of', 'employment']"
aid_given_2023_us,safety,"['environment', 'economy']",0.204802006483078,"[0.204802006483078, 0.17840003967285156, 0.1696833372116089]",aid given 2023 us,count,"['aid', 'given', '2023', 'us']"
aid_given_per_person_2023_us,economy,"['safety', 'social wellbeing']",0.3345597982406616,"[0.3345597982406616, 0.19076809287071228, 0.10198276489973068]",aid given per person 2023 us,count,"['aid', 'given', 'per', 'person', '2023', 'us']"
aid_given_percent_of_gni,demographics,"['mental health', 'economy']",0.45582887530326843,"[0.45582887530326843, 0.3698239028453827, 0.04419427365064621]",aid given % of gni,percent,"['aid', 'given', 'percent', 'of', 'gni']"
aid_received_per_person_current_us,economy,"['safety', 'social wellbeing']",0.30423280596733093,"[0.30423280596733093, 0.2289438396692276, 0.11450745165348053]",aid received per person current us,count,"['aid', 'received', 'per', 'person', 'current', 'us']"
aid_received_percent_of_gni,mental health,"['demographics', 'economy']",0.5512018203735352,"[0.5512018203735352, 0.2026318460702896, 0.0651601031422615]",aid received % of gni,percent,"['aid', 'received', 'percent', 'of', 'gni']"
aid_received_total_us_inflation_adjusted,economy,"['safety', 'social wellbeing']",0.43088498711586,"[0.43088498711586, 0.17435486614704132, 0.10646569728851318]",aid received total us inflation adjusted,count,"['aid', 'received', 'total', 'us', 'inflation', 'adjusted']"
alcohol_consumption_per_adult_15plus_litres,demographics,"['economy', 'environment']",0.30352309346199036,"[0.30352309346199036, 0.2410099357366562, 0.10895571112632751]",alcohol consumption per adult 15plus litres,count,"['alcohol', 'consumption', 'per', 'adult', '15plus', 'litres']"
all_causes_deaths_in_children_1_59_months_per_1000_births,demographics,"['economy', 'safety']",0.33840465545654297,"[0.33840465545654297, 0.14635394513607025, 0.13769660890102386]",all causes deaths in children 1 59 months per 1000 births,count,"['all', 'causes', 'deaths', 'in', 'children', '1', '59', 'months', 'per', '1000', 'births']"
all_causes_deaths_in_children_1_59_months_total_deaths,demographics,"['environment', 'economy']",0.30490922927856445,"[0.30490922927856445, 0.14285434782505035, 0.12832428514957428]",all causes deaths in children 1 59 months total deaths,count,"['all', 'causes', 'deaths', 'in', 'children', '1', '59', 'months', 'total', 'deaths']"
all_causes_deaths_in_newborn_per_1000_births,demographics,"['environment', 'safety']",0.2589678466320038,"[0.2589678466320038, 0.19124390184879303, 0.1444099098443985]",all causes deaths in newborn per 1000 births,count,"['all', 'causes', 'deaths', 'in', 'newborn', 'per', '1000', 'births']"
all_causes_deaths_in_newborn_total_deaths,demographics,"['environment', 'safety']",0.20733393728733063,"[0.20733393728733063, 0.15906301140785217, 0.15533414483070374]",all causes deaths in newborn total deaths,count,"['all', 'causes', 'deaths', 'in', 'newborn', 'total', 'deaths']"
all_forms_of_tb_deaths_per_100000_estimated,demographics,"['environment', 'physical health']",0.20907807350158691,"[0.20907807350158691, 0.18506640195846558, 0.16695551574230194]",all forms of tb deaths per 100000 estimated,count,"['all', 'forms', 'of', 'tb', 'deaths', 'per', '100000', 'estimated']"
all_forms_of_tb_detection_rate_percent_dots_only,safety,"['environment', 'physical health']",0.27007073163986206,"[0.27007073163986206, 0.18271681666374207, 0.17937393486499786]",all forms of tb detection rate % dots only,percent,"['all', 'forms', 'of', 'tb', 'detection', 'rate', 'percent', 'dots', 'only']"
all_forms_of_tb_incidence_and_number_of_new_cases_per_100000_estimated,physical health,"['economy', 'environment']",0.26764976978302,"[0.26764976978302, 0.1618952751159668, 0.13673686981201172]",all forms of tb incidence and number of new cases per 100000 estimated,count,"['all', 'forms', 'of', 'tb', 'incidence', 'and', 'number', 'of', 'new', 'cases', 'per', '100000', 'estimated']"
all_forms_of_tb_incidence_and_number_of_new_cases_reported,physical health,"['economy', 'environment']",0.2282686084508896,"[0.2282686084508896, 0.187041237950325, 0.15860800445079803]",all forms of tb incidence and number of new cases reported,count,"['all', 'forms', 'of', 'tb', 'incidence', 'and', 'number', 'of', 'new', 'cases', 'reported']"
all_forms_of_tb_incidence_estimated,physical health,"['economy', 'environment']",0.22516480088233948,"[0.22516480088233948, 0.21648380160331726, 0.14829812943935394]",all forms of tb incidence estimated,count,"['all', 'forms', 'of', 'tb', 'incidence', 'estimated']"
all_forms_of_tb_incidence_per_100000_estimated,physical health,"['economy', 'environment']",0.3568531274795532,"[0.3568531274795532, 0.1456528604030609, 0.12438304722309113]",all forms of tb incidence per 100000 estimated,count,"['all', 'forms', 'of', 'tb', 'incidence', 'per', '100000', 'estimated']"
all_forms_of_tb_new_cases_per_100000_reported,physical health,"['economy', 'environment']",0.18151365220546722,"[0.18151365220546722, 0.14938470721244812, 0.14411038160324097]",all forms of tb new cases per 100000 reported,count,"['all', 'forms', 'of', 'tb', 'new', 'cases', 'per', '100000', 'reported']"
all_forms_of_tb_number_of_deaths_estimated,economy,"['environment', 'safety']",0.1966836303472519,"[0.1966836303472519, 0.1858586221933365, 0.16682551801204681]",all forms of tb number of deaths estimated,count,"['all', 'forms', 'of', 'tb', 'number', 'of', 'deaths', 'estimated']"
all_forms_of_tb_number_of_new_cases_reported,physical health,"['environment', 'economy']",0.21394957602024078,"[0.21394957602024078, 0.14590974152088165, 0.14356878399848938]",all forms of tb number of new cases reported,count,"['all', 'forms', 'of', 'tb', 'number', 'of', 'new', 'cases', 'reported']"
all_forms_of_tb_treatment_coverage_percent,physical health,"['mental health', 'economy']",0.3392845392227173,"[0.3392845392227173, 0.12938059866428375, 0.12577897310256958]",all forms of tb treatment coverage %,percent,"['all', 'forms', 'of', 'tb', 'treatment', 'coverage', 'percent']"
alternative_gdp_per_capita_ppp_pwt_7_1,economy,"['demographics', 'safety']",0.34885329008102417,"[0.34885329008102417, 0.2433539777994156, 0.09278709441423416]",alternative gdp per capita ppp pwt 7 1,count,"['alternative', 'gdp', 'per', 'capita', 'ppp', 'pwt', '7', '1']"
alternative_gdp_per_capita_ppp_pwt_8_0,economy,"['demographics', 'safety']",0.36736413836479187,"[0.36736413836479187, 0.1988012045621872, 0.10426373779773712]",alternative gdp per capita ppp pwt 8 0,count,"['alternative', 'gdp', 'per', 'capita', 'ppp', 'pwt', '8', '0']"
